job_id,job_title,domain,experience_level,job_description,technical_skills,soft_skills,location
JOB00026,DevOps Engineer,DevOps,Fresher,Automate deployments and manage CI/CD pipelines.,"Docker, Kubernetes, Jenkins, Linux, AWS","Communication, Teamwork, Time Management, Willingness to Learn",Bangalore
JOB00027,NLP Engineer,Artificial Intelligence,Experienced,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Leadership, Decision Making, Strategic Thinking, Mentorship",Kolkata
JOB00028,Full Stack Developer,Web Development,Fresher,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Communication, Teamwork, Time Management, Willingness to Learn",Chennai
JOB00029,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Chennai
JOB00030,NLP Engineer,Artificial Intelligence,Experienced,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Leadership, Decision Making, Strategic Thinking, Mentorship",Chennai
JOB00031,Sales Executive,Sales,Experienced,Drive sales and manage clients.,"CRM Tools, Lead Generation, Negotiation","Leadership, Decision Making, Strategic Thinking, Mentorship",Chennai
JOB00032,Digital Marketing Executive,Marketing,Experienced,Execute digital marketing campaigns.,"SEO, Google Analytics, Ads, Content Strategy","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00033,Software Engineer,Software Development,Fresher,"Design, develop, test, and maintain software systems.","Python, Java, OOP, Data Structures, Algorithms, Git","Communication, Teamwork, Time Management, Willingness to Learn",Chennai
JOB00034,Frontend Developer,Web Development,Intermediate,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00035,Sales Executive,Sales,Experienced,Drive sales and manage clients.,"CRM Tools, Lead Generation, Negotiation","Leadership, Decision Making, Strategic Thinking, Mentorship",Kolkata
JOB00036,Cloud Engineer,Cloud Computing,Experienced,Design and manage cloud infrastructure.,"AWS, Azure, GCP, Networking, Linux","Leadership, Decision Making, Strategic Thinking, Mentorship",Bangalore
JOB00037,Customer Support Executive,Customer Support,Experienced,Handle customer issues.,"Ticketing Tools, CRM Systems","Leadership, Decision Making, Strategic Thinking, Mentorship",Pune
JOB00038,Full Stack Developer,Web Development,Experienced,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00039,Machine Learning Engineer,AI & ML,Fresher,Deploy scalable ML models.,"Scikit-learn, TensorFlow, PyTorch, MLOps","Communication, Teamwork, Time Management, Willingness to Learn",Bangalore
JOB00040,HR Executive,Human Resources,Experienced,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00041,Data Scientist,Data Science,Intermediate,Build predictive models and analytics.,"Python, Pandas, Machine Learning, Statistics","Problem Solving, Collaboration, Adaptability, Ownership",Kolkata
JOB00042,Digital Marketing Executive,Marketing,Intermediate,Execute digital marketing campaigns.,"SEO, Google Analytics, Ads, Content Strategy","Problem Solving, Collaboration, Adaptability, Ownership",Hyderabad
JOB00043,Data Analyst,Data Science,Fresher,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Communication, Teamwork, Time Management, Willingness to Learn",Noida
JOB00044,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Noida
JOB00045,Business Analyst,Analytics,Fresher,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00046,Customer Support Executive,Customer Support,Experienced,Handle customer issues.,"Ticketing Tools, CRM Systems","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00047,Mobile App Developer,App Development,Intermediate,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Problem Solving, Collaboration, Adaptability, Ownership",Pune
JOB00048,Operations Manager,Operations,Fresher,Oversee operational efficiency.,"Process Optimization, ERP Systems","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00049,Operations Manager,Operations,Fresher,Oversee operational efficiency.,"Process Optimization, ERP Systems","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00050,Frontend Developer,Web Development,Fresher,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Communication, Teamwork, Time Management, Willingness to Learn",Hyderabad
JOB00051,Sales Executive,Sales,Experienced,Drive sales and manage clients.,"CRM Tools, Lead Generation, Negotiation","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00052,Machine Learning Engineer,AI & ML,Experienced,Deploy scalable ML models.,"Scikit-learn, TensorFlow, PyTorch, MLOps","Leadership, Decision Making, Strategic Thinking, Mentorship",Noida
JOB00053,Mobile App Developer,App Development,Fresher,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Communication, Teamwork, Time Management, Willingness to Learn",Chennai
JOB00054,Cybersecurity Analyst,Cybersecurity,Fresher,Protect systems from cyber threats.,"Networking, SIEM, Kali Linux, Risk Analysis","Communication, Teamwork, Time Management, Willingness to Learn",Pune
JOB00055,Full Stack Developer,Web Development,Fresher,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Communication, Teamwork, Time Management, Willingness to Learn",Pune
JOB00056,Data Analyst,Data Science,Experienced,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00057,UI/UX Designer,Design,Fresher,Design intuitive user experiences.,"Figma, Wireframing, Prototyping, UX Research","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00058,HR Executive,Human Resources,Experienced,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00059,Customer Support Executive,Customer Support,Fresher,Handle customer issues.,"Ticketing Tools, CRM Systems","Communication, Teamwork, Time Management, Willingness to Learn",Kolkata
JOB00060,Digital Marketing Executive,Marketing,Intermediate,Execute digital marketing campaigns.,"SEO, Google Analytics, Ads, Content Strategy","Problem Solving, Collaboration, Adaptability, Ownership",Gurgaon
JOB00061,Cloud Engineer,Cloud Computing,Intermediate,Design and manage cloud infrastructure.,"AWS, Azure, GCP, Networking, Linux","Problem Solving, Collaboration, Adaptability, Ownership",Delhi
JOB00062,DevOps Engineer,DevOps,Fresher,Automate deployments and manage CI/CD pipelines.,"Docker, Kubernetes, Jenkins, Linux, AWS","Communication, Teamwork, Time Management, Willingness to Learn",Mumbai
JOB00063,Operations Manager,Operations,Fresher,Oversee operational efficiency.,"Process Optimization, ERP Systems","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00064,UI/UX Designer,Design,Experienced,Design intuitive user experiences.,"Figma, Wireframing, Prototyping, UX Research","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00065,Data Scientist,Data Science,Fresher,Build predictive models and analytics.,"Python, Pandas, Machine Learning, Statistics","Communication, Teamwork, Time Management, Willingness to Learn",Bangalore
JOB00066,Software Engineer,Software Development,Experienced,"Design, develop, test, and maintain software systems.","Python, Java, OOP, Data Structures, Algorithms, Git","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00067,HR Executive,Human Resources,Intermediate,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Problem Solving, Collaboration, Adaptability, Ownership",Gurgaon
JOB00068,Customer Support Executive,Customer Support,Experienced,Handle customer issues.,"Ticketing Tools, CRM Systems","Leadership, Decision Making, Strategic Thinking, Mentorship",Pune
JOB00069,Data Analyst,Data Science,Experienced,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Leadership, Decision Making, Strategic Thinking, Mentorship",Pune
JOB00070,HR Executive,Human Resources,Fresher,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Communication, Teamwork, Time Management, Willingness to Learn",Bangalore
JOB00071,Full Stack Developer,Web Development,Fresher,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Communication, Teamwork, Time Management, Willingness to Learn",Hyderabad
JOB00072,Software Engineer,Software Development,Fresher,"Design, develop, test, and maintain software systems.","Python, Java, OOP, Data Structures, Algorithms, Git","Communication, Teamwork, Time Management, Willingness to Learn",Pune
JOB00073,Digital Marketing Executive,Marketing,Fresher,Execute digital marketing campaigns.,"SEO, Google Analytics, Ads, Content Strategy","Communication, Teamwork, Time Management, Willingness to Learn",Noida
JOB00074,UI/UX Designer,Design,Intermediate,Design intuitive user experiences.,"Figma, Wireframing, Prototyping, UX Research","Problem Solving, Collaboration, Adaptability, Ownership",Chennai
JOB00075,UI/UX Designer,Design,Intermediate,Design intuitive user experiences.,"Figma, Wireframing, Prototyping, UX Research","Problem Solving, Collaboration, Adaptability, Ownership",Pune
JOB00076,Cybersecurity Analyst,Cybersecurity,Intermediate,Protect systems from cyber threats.,"Networking, SIEM, Kali Linux, Risk Analysis","Problem Solving, Collaboration, Adaptability, Ownership",Bangalore
JOB00077,Cybersecurity Analyst,Cybersecurity,Experienced,Protect systems from cyber threats.,"Networking, SIEM, Kali Linux, Risk Analysis","Leadership, Decision Making, Strategic Thinking, Mentorship",Noida
JOB00078,DevOps Engineer,DevOps,Fresher,Automate deployments and manage CI/CD pipelines.,"Docker, Kubernetes, Jenkins, Linux, AWS","Communication, Teamwork, Time Management, Willingness to Learn",Noida
JOB00079,NLP Engineer,Artificial Intelligence,Intermediate,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00080,Data Scientist,Data Science,Fresher,Build predictive models and analytics.,"Python, Pandas, Machine Learning, Statistics","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00081,NLP Engineer,Artificial Intelligence,Intermediate,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00082,Digital Marketing Executive,Marketing,Fresher,Execute digital marketing campaigns.,"SEO, Google Analytics, Ads, Content Strategy","Communication, Teamwork, Time Management, Willingness to Learn",Chennai
JOB00083,Data Analyst,Data Science,Intermediate,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Problem Solving, Collaboration, Adaptability, Ownership",Noida
JOB00084,Full Stack Developer,Web Development,Intermediate,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Problem Solving, Collaboration, Adaptability, Ownership",Hyderabad
JOB00085,HR Executive,Human Resources,Fresher,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Communication, Teamwork, Time Management, Willingness to Learn",Chennai
JOB00086,Cybersecurity Analyst,Cybersecurity,Experienced,Protect systems from cyber threats.,"Networking, SIEM, Kali Linux, Risk Analysis","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00087,Cybersecurity Analyst,Cybersecurity,Fresher,Protect systems from cyber threats.,"Networking, SIEM, Kali Linux, Risk Analysis","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00088,Frontend Developer,Web Development,Fresher,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Communication, Teamwork, Time Management, Willingness to Learn",Hyderabad
JOB00089,DevOps Engineer,DevOps,Experienced,Automate deployments and manage CI/CD pipelines.,"Docker, Kubernetes, Jenkins, Linux, AWS","Leadership, Decision Making, Strategic Thinking, Mentorship",Pune
JOB00090,Finance Analyst,Finance,Intermediate,Analyze financial performance.,"Financial Modeling, Excel, Forecasting","Problem Solving, Collaboration, Adaptability, Ownership",Bangalore
JOB00091,Frontend Developer,Web Development,Intermediate,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Problem Solving, Collaboration, Adaptability, Ownership",Kolkata
JOB00092,Data Analyst,Data Science,Experienced,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Leadership, Decision Making, Strategic Thinking, Mentorship",Mumbai
JOB00093,Data Scientist,Data Science,Fresher,Build predictive models and analytics.,"Python, Pandas, Machine Learning, Statistics","Communication, Teamwork, Time Management, Willingness to Learn",Kolkata
JOB00094,Machine Learning Engineer,AI & ML,Experienced,Deploy scalable ML models.,"Scikit-learn, TensorFlow, PyTorch, MLOps","Leadership, Decision Making, Strategic Thinking, Mentorship",Noida
JOB00095,Data Scientist,Data Science,Fresher,Build predictive models and analytics.,"Python, Pandas, Machine Learning, Statistics","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00096,Digital Marketing Executive,Marketing,Intermediate,Execute digital marketing campaigns.,"SEO, Google Analytics, Ads, Content Strategy","Problem Solving, Collaboration, Adaptability, Ownership",Pune
JOB00097,Product Manager,Product,Experienced,Define product vision and roadmap.,"Product Strategy, Roadmapping, Market Research","Leadership, Decision Making, Strategic Thinking, Mentorship",Kolkata
JOB00098,Sales Executive,Sales,Experienced,Drive sales and manage clients.,"CRM Tools, Lead Generation, Negotiation","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00099,Customer Support Executive,Customer Support,Experienced,Handle customer issues.,"Ticketing Tools, CRM Systems","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00100,Cloud Engineer,Cloud Computing,Intermediate,Design and manage cloud infrastructure.,"AWS, Azure, GCP, Networking, Linux","Problem Solving, Collaboration, Adaptability, Ownership",Gurgaon
JOB00101,Mobile App Developer,App Development,Fresher,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Communication, Teamwork, Time Management, Willingness to Learn",Pune
JOB00102,Customer Support Executive,Customer Support,Fresher,Handle customer issues.,"Ticketing Tools, CRM Systems","Communication, Teamwork, Time Management, Willingness to Learn",Hyderabad
JOB00103,Data Analyst,Data Science,Fresher,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00104,Backend Developer,Software Development,Intermediate,"Build server-side logic, APIs, and databases.","Node.js, Java, Spring Boot, REST APIs, SQL, MongoDB","Problem Solving, Collaboration, Adaptability, Ownership",Pune
JOB00105,Backend Developer,Software Development,Intermediate,"Build server-side logic, APIs, and databases.","Node.js, Java, Spring Boot, REST APIs, SQL, MongoDB","Problem Solving, Collaboration, Adaptability, Ownership",Delhi
JOB00106,Full Stack Developer,Web Development,Intermediate,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00107,Cloud Engineer,Cloud Computing,Fresher,Design and manage cloud infrastructure.,"AWS, Azure, GCP, Networking, Linux","Communication, Teamwork, Time Management, Willingness to Learn",Kolkata
JOB00108,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Kolkata
JOB00109,Data Analyst,Data Science,Fresher,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Communication, Teamwork, Time Management, Willingness to Learn",Chennai
JOB00110,Machine Learning Engineer,AI & ML,Fresher,Deploy scalable ML models.,"Scikit-learn, TensorFlow, PyTorch, MLOps","Communication, Teamwork, Time Management, Willingness to Learn",Mumbai
JOB00111,Software Engineer,Software Development,Intermediate,"Design, develop, test, and maintain software systems.","Python, Java, OOP, Data Structures, Algorithms, Git","Problem Solving, Collaboration, Adaptability, Ownership",Hyderabad
JOB00112,Customer Support Executive,Customer Support,Fresher,Handle customer issues.,"Ticketing Tools, CRM Systems","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00113,NLP Engineer,Artificial Intelligence,Experienced,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Leadership, Decision Making, Strategic Thinking, Mentorship",Chennai
JOB00114,Cloud Engineer,Cloud Computing,Experienced,Design and manage cloud infrastructure.,"AWS, Azure, GCP, Networking, Linux","Leadership, Decision Making, Strategic Thinking, Mentorship",Chennai
JOB00115,Software Engineer,Software Development,Fresher,"Design, develop, test, and maintain software systems.","Python, Java, OOP, Data Structures, Algorithms, Git","Communication, Teamwork, Time Management, Willingness to Learn",Noida
JOB00116,Finance Analyst,Finance,Intermediate,Analyze financial performance.,"Financial Modeling, Excel, Forecasting","Problem Solving, Collaboration, Adaptability, Ownership",Pune
JOB00117,Business Analyst,Analytics,Fresher,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00118,Operations Manager,Operations,Fresher,Oversee operational efficiency.,"Process Optimization, ERP Systems","Communication, Teamwork, Time Management, Willingness to Learn",Bangalore
JOB00119,Data Scientist,Data Science,Fresher,Build predictive models and analytics.,"Python, Pandas, Machine Learning, Statistics","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00120,Backend Developer,Software Development,Fresher,"Build server-side logic, APIs, and databases.","Node.js, Java, Spring Boot, REST APIs, SQL, MongoDB","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00121,NLP Engineer,Artificial Intelligence,Experienced,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Leadership, Decision Making, Strategic Thinking, Mentorship",Pune
JOB00122,Product Manager,Product,Fresher,Define product vision and roadmap.,"Product Strategy, Roadmapping, Market Research","Communication, Teamwork, Time Management, Willingness to Learn",Mumbai
JOB00123,Frontend Developer,Web Development,Intermediate,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Problem Solving, Collaboration, Adaptability, Ownership",Pune
JOB00124,Business Analyst,Analytics,Intermediate,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Problem Solving, Collaboration, Adaptability, Ownership",Delhi
JOB00125,Business Analyst,Analytics,Intermediate,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Problem Solving, Collaboration, Adaptability, Ownership",Bangalore
JOB00126,NLP Engineer,Artificial Intelligence,Fresher,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Communication, Teamwork, Time Management, Willingness to Learn",Bangalore
JOB00127,HR Executive,Human Resources,Intermediate,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00128,Backend Developer,Software Development,Intermediate,"Build server-side logic, APIs, and databases.","Node.js, Java, Spring Boot, REST APIs, SQL, MongoDB","Problem Solving, Collaboration, Adaptability, Ownership",Bangalore
JOB00129,Data Scientist,Data Science,Experienced,Build predictive models and analytics.,"Python, Pandas, Machine Learning, Statistics","Leadership, Decision Making, Strategic Thinking, Mentorship",Bangalore
JOB00130,HR Executive,Human Resources,Intermediate,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Problem Solving, Collaboration, Adaptability, Ownership",Hyderabad
JOB00131,Operations Manager,Operations,Intermediate,Oversee operational efficiency.,"Process Optimization, ERP Systems","Problem Solving, Collaboration, Adaptability, Ownership",Delhi
JOB00132,Data Analyst,Data Science,Fresher,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Communication, Teamwork, Time Management, Willingness to Learn",Pune
JOB00133,Frontend Developer,Web Development,Experienced,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Leadership, Decision Making, Strategic Thinking, Mentorship",Bangalore
JOB00134,Operations Manager,Operations,Fresher,Oversee operational efficiency.,"Process Optimization, ERP Systems","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00135,Machine Learning Engineer,AI & ML,Experienced,Deploy scalable ML models.,"Scikit-learn, TensorFlow, PyTorch, MLOps","Leadership, Decision Making, Strategic Thinking, Mentorship",Hyderabad
JOB00136,Full Stack Developer,Web Development,Fresher,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Communication, Teamwork, Time Management, Willingness to Learn",Hyderabad
JOB00137,Operations Manager,Operations,Intermediate,Oversee operational efficiency.,"Process Optimization, ERP Systems","Problem Solving, Collaboration, Adaptability, Ownership",Pune
JOB00138,DevOps Engineer,DevOps,Intermediate,Automate deployments and manage CI/CD pipelines.,"Docker, Kubernetes, Jenkins, Linux, AWS","Problem Solving, Collaboration, Adaptability, Ownership",Noida
JOB00139,Data Analyst,Data Science,Experienced,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Leadership, Decision Making, Strategic Thinking, Mentorship",Chennai
JOB00140,DevOps Engineer,DevOps,Experienced,Automate deployments and manage CI/CD pipelines.,"Docker, Kubernetes, Jenkins, Linux, AWS","Leadership, Decision Making, Strategic Thinking, Mentorship",Kolkata
JOB00141,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Delhi
JOB00142,Full Stack Developer,Web Development,Intermediate,Handle frontend and backend application development.,"React, Node.js, SQL, REST APIs, Git","Problem Solving, Collaboration, Adaptability, Ownership",Chennai
JOB00143,Machine Learning Engineer,AI & ML,Intermediate,Deploy scalable ML models.,"Scikit-learn, TensorFlow, PyTorch, MLOps","Problem Solving, Collaboration, Adaptability, Ownership",Chennai
JOB00144,Frontend Developer,Web Development,Fresher,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Communication, Teamwork, Time Management, Willingness to Learn",Kolkata
JOB00145,Customer Support Executive,Customer Support,Intermediate,Handle customer issues.,"Ticketing Tools, CRM Systems","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00146,HR Executive,Human Resources,Fresher,Manage recruitment and employee relations.,"ATS Tools, Recruitment, HRMS","Communication, Teamwork, Time Management, Willingness to Learn",Chennai
JOB00147,Business Analyst,Analytics,Intermediate,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Problem Solving, Collaboration, Adaptability, Ownership",Hyderabad
JOB00148,Customer Support Executive,Customer Support,Experienced,Handle customer issues.,"Ticketing Tools, CRM Systems","Leadership, Decision Making, Strategic Thinking, Mentorship",Delhi
JOB00149,Frontend Developer,Web Development,Intermediate,Develop responsive and interactive user interfaces.,"HTML, CSS, JavaScript, React, UI Design","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00150,Data Analyst,Data Science,Intermediate,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Problem Solving, Collaboration, Adaptability, Ownership",Delhi
JOB00151,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00152,Data Analyst,Data Science,Fresher,Analyze data to generate insights.,"SQL, Excel, Python, Power BI, Tableau","Communication, Teamwork, Time Management, Willingness to Learn",Pune
JOB00153,Product Manager,Product,Intermediate,Define product vision and roadmap.,"Product Strategy, Roadmapping, Market Research","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00154,Backend Developer,Software Development,Fresher,"Build server-side logic, APIs, and databases.","Node.js, Java, Spring Boot, REST APIs, SQL, MongoDB","Communication, Teamwork, Time Management, Willingness to Learn",Hyderabad
